ec,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
6.2,13862.0,20.0,0.385722354433492,0.9188423639603857,0.4453908458804857,0.8635368268504615,0.8335438003062403,0.26008369216791866,0.8011727717712025,0.2454930315997023,0.11999795902287132,0.0584102096244468,0.18721177458412197,0.04177091868762717,0.07376217950894665,0.09830379500905925,0.1488343869321379,0.09301987600199746
3.13,6897.0,7.0,0.33886609440336607,0.8736377058364023,0.3041053957903883,0.8610087148670476,0.7393351370566413,0.24201989846639096,0.6093172023984905,0.21170614071149813,0.1410568304330175,0.03520406878374438,0.1953009675293181,0.06178780521886814,0.08215455985238682,0.10465077298063583,0.22534566445956628,0.10621897327682085
1.12,689.0,2.0,0.4805713714913594,0.8938876430354348,0.5806869894340068,0.786644759015841,0.8127683769396519,0.33716249386352476,0.8458230958230959,0.3162859120803046,0.0024015213825134586,0.012242274072330505,0.04990750078117595,0.0024904839445229533,0.04391967973295409,0.01888395134832992,0.10337310437493759,0.0020804457044256114
4.6,4096.0,11.0,0.39809288808493376,0.8525861870394476,0.38737861542710983,0.755652174907517,0.7784785677595156,0.27835782959343897,0.8076442642494236,0.25667773865215193,0.13288852413717098,0.05810089548436441,0.1943320617876197,0.12793210690261905,0.07192528064154709,0.1239369706736205,0.09483336155993093,0.10850361095882084
7.4,384.0,1.0,0.4666666666666667,0.9365804623960522,0.6732111748796799,0.8333333333333334,0.8652106369368546,0.3146067415730337,0.9032258064516128,0.3043478260869565,,,,,,,,
3.8,801.0,1.0,0.3087248322147651,0.8323826107841961,0.2100259921912455,0.8714107365792759,0.7072024738801489,0.219047619047619,0.5227272727272727,0.1825396825396825,,,,,,,,
1.9,720.0,1.0,0.4852941176470588,0.9358851674641148,0.5478057897906148,0.9027777777777778,0.7639097744360902,0.4074074074074074,0.6,0.3203883495145631,,,,,,,,
2.-,880.0,1.0,0.2840909090909091,0.7646752163486602,0.2619956940053071,0.8568181818181818,0.7087894901470129,0.1923076923076923,0.5434782608695652,0.1655629139072847,,,,,,,,
3.3,12142.0,20.0,0.3759319703380104,0.8684900174173272,0.39539733307322394,0.8874058025148827,0.7915659017184065,0.2632737723486943,0.6863011149124538,0.23884253600695177,0.12751198568806552,0.05032945748326054,0.20648022666492136,0.017695718744076782,0.07345577426108678,0.10376782762370833,0.13427339829286927,0.09962119621467232
3.11,1578.0,1.0,0.2727272727272727,0.8939603659565849,0.303588432055885,0.9594423320659062,0.7975085243577191,0.1739130434782608,0.631578947368421,0.1578947368421052,,,,,,,,
4.98,1436.0,2.0,0.16785128485511205,0.7918782368342563,0.12716459866461194,0.8795264623955432,0.6680720462843739,0.10960108181203515,0.44556451612903225,0.09509803921568626,0.1461379788346173,0.0647023582408636,0.11885519599607898,0.0009848283860536724,0.05419057796803129,0.1050859165008811,0.09979329573197243,0.08734848473480884
7.6,245.0,1.0,0.74,0.9708273553323769,0.8792371355038837,0.8938775510204081,0.897297943567671,0.6271186440677966,0.902439024390244,0.5873015873015873,,,,,,,,
3.9,468.0,1.0,0.3495145631067961,0.8328137706695582,0.2290081218520293,0.8568376068376068,0.7059501219842776,0.2608695652173913,0.5294117647058824,0.2117647058823529,,,,,,,,
