scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
c.87,48229.0,54.0,0.34326669432857054,0.8672021833329211,0.39089324801524655,0.9086026416383219,0.7394701810313058,0.2533815114655188,0.5584873365397631,0.2266507895089785,0.21904817077156238,0.13185768533267733,0.2537171243373871,0.03478173311313737,0.1736629308562282,0.16611612171440945,0.35503040697696275,0.15052686229040416
d.166,12972.0,23.0,0.3996278763373648,0.8747057956339724,0.4455873174970461,0.8755930743738389,0.742418402624757,0.31394475287863544,0.590037167281892,0.26291883325195387,0.1747002390517064,0.08917462091812836,0.2234409888611741,0.06043445691058152,0.11895030543106404,0.1540588304663818,0.24938385057213502,0.1271408912989833
d.176,263.0,1.0,0.5904761904761905,0.9274097105955512,0.6935259536573352,0.8365019011406845,0.8370605118392729,0.4558823529411764,0.8378378378378378,0.4189189189189189,,,,,,,,
e.6,34065.0,32.0,0.3202608745553951,0.8595472936300328,0.28313211029892105,0.8913462480466092,0.6976544489969185,0.2453643734606675,0.48425771283689334,0.19814041436102092,0.13423158364808832,0.034684453309234115,0.13826192456073425,0.04037286882613073,0.08678744115681125,0.10435808214594136,0.2084860634283226,0.09737630247130573
c.110,3049.0,11.0,0.3680247956339784,0.8242345693403439,0.4379571074128085,0.7228914883727563,0.7219585741038682,0.2511085702421871,0.7320082274627729,0.2316569119384708,0.12538661473824558,0.0613773002371135,0.2179542843829218,0.07126740870379432,0.09244120736257368,0.09120414127203469,0.25680394755760133,0.08858976851958635
b.47,18781.0,62.0,0.43679179203243657,0.8418804626627265,0.5472244203811583,0.7444016629553956,0.74428574839335,0.3363280612945957,0.7507246096807835,0.28934347987194836,0.13624918717036227,0.08227351716703814,0.18520504353766504,0.13582346551756933,0.0786982422662575,0.14492469877568045,0.17810770797724385,0.11605469795120957
c.86,3225.0,7.0,0.46393129705363184,0.9612869191390571,0.6216985821467105,0.8407936004700906,0.9001998146671816,0.3061493775293716,0.970200039748912,0.3038384768873739,0.062065001353409706,0.013124560170112445,0.12436034451062963,0.012381309956732131,0.014543670252381614,0.05137795875343607,0.0385539028341764,0.05240609550001413
b.30,752.0,1.0,0.2549019607843137,0.8824521072796935,0.2658517673891956,0.898936170212766,0.6979821200510855,0.1733333333333333,0.4814814814814814,0.146067415730337,,,,,,,,
a.121,7034.0,17.0,0.3473990677801148,0.7991315813562698,0.31428451669371227,0.7889638622392038,0.6949058146233368,0.25204046214561704,0.6004230049868996,0.21994411368363725,0.1569149849711574,0.05437248922394675,0.1503203905318568,0.09960047032933281,0.10367334780345572,0.1113377019589749,0.3250075948391989,0.10919822000284786
c.100,1134.0,2.0,0.1671472606144973,0.7399744118572175,0.10688922251289584,0.8515855876335531,0.6075170337066178,0.11263138818412465,0.3379629629629629,0.0912266161496566,0.013921362501236573,0.018654385935745636,0.00867816922678184,0.003094295416649448,0.051298922498969945,0.00038443645225802914,0.11130384518677143,0.008288369800789574
