logits,labels,entries
-3.5294573,0.0,11669
-4.1083884,0.0,2347
-2.8989322,0.0,12895
-1.2410446,0.0,15039
-7.368506,0.0,9706
-6.054776,0.0,15478
-0.31773585,0.0,6767
0.75571233,0.0,2470
0.5906983,0.0,10182
-1.6630872,0.0,4771
-3.8128636,0.0,284
-2.6256716,0.0,3505
-5.9862804,0.0,13441
-3.2009165,0.0,11794
-2.6446512,0.0,4771
-1.8186324,0.0,12244
-0.29930633,0.0,4451
-1.4723558,0.0,5434
-3.8335216,0.0,2229
-3.1212575,0.0,7183
-0.884596,0.0,4811
-3.7660108,0.0,15875
0.48649362,0.0,1346
-4.4097733,0.0,7199
-2.5801451,0.0,6747
-3.9670484,0.0,1054
-2.6849365,0.0,2614
-1.1161854,0.0,168
-1.1148139,0.0,4174
-0.05878576,0.0,12650
-0.5358063,0.0,1541
0.18027416,0.0,8730
-2.374628,0.0,8182
-1.4224354,0.0,13632
-2.4782166,0.0,3803
0.65449274,0.0,7507
-2.934086,0.0,10419
-3.079311,0.0,8668
-2.3986478,0.0,12664
-4.804606,0.0,2534
-3.442886,0.0,13782
-1.7020706,0.0,6998
1.8322916,0.0,13357
-0.6371329,0.0,7347
-3.6638763,0.0,12662
-0.8496461,0.0,15263
-3.496993,0.0,15051
-2.5269828,0.0,6031
-4.0686255,0.0,14873
0.8567156,0.0,791
-2.4805076,0.0,7472
-1.3868706,0.0,7575
-1.0629458,0.0,6007
-2.3432386,0.0,273
-3.2584355,0.0,1054
-2.4315422,0.0,10315
-0.41730857,0.0,1482
-4.222072,0.0,9583
-0.85191625,0.0,934
-4.5756125,0.0,14580
-2.3639832,0.0,7039
-3.9051292,0.0,4393
-3.5496032,0.0,4427
1.6536336,0.0,2373
0.15227094,0.0,17
-1.9372063,0.0,2468
0.9387589,0.0,12694
-3.5601146,0.0,1915
-1.9833441,0.0,4330
-2.1214082,0.0,15082
-1.9347959,0.0,4729
1.4309192,0.0,14787
-2.9219701,0.0,5812
-0.5334665,0.0,414
0.6150697,0.0,157
-1.3339775,1.0,7520
0.8361724,1.0,4463
-3.8433702,0.0,2046
-3.8224576,0.0,13777
-1.4650335,0.0,7665
-0.65409476,0.0,2470
-1.2288511,0.0,16369
-1.9708786,0.0,6229
-0.8384701,0.0,9596
-0.20204479,0.0,271
-1.8612461,0.0,8182
-1.8994849,0.0,5985
-3.5372677,0.0,9151
-3.006771,0.0,7144
-3.1529949,0.0,2426
1.0256844,0.0,13278
-4.919995,0.0,5620
-2.7650068,0.0,2842
0.37518105,0.0,6237
-1.9412279,0.0,11306
2.7604861,1.0,5501
-3.9211662,0.0,10400
-1.3637972,0.0,3755
1.4287988,0.0,1182
-5.5456147,0.0,16091
-2.2312315,0.0,1911
-0.16820702,0.0,6658
-0.23177108,0.0,3136
-1.677131,0.0,4393
-1.219252,0.0,3428
-2.7850127,0.0,9171
-2.77389,0.0,270
-4.040738,0.0,547
-0.6255851,0.0,697
3.8299084,1.0,12901
-5.1838326,0.0,2347
-2.233991,0.0,6580
-5.1157193,0.0,2211
-4.3352084,0.0,6574
-3.3274612,0.0,10017
3.9728472,1.0,16358
-1.9015337,0.0,12579
-4.915383,0.0,853
-1.3079431,0.0,1589
-3.993569,0.0,4562
0.67548376,0.0,5260
3.9633644,1.0,6580
-4.7072854,0.0,11563
-2.7586405,0.0,2229
-0.9297906,1.0,4990
-1.8035711,0.0,1618
-2.5732193,0.0,588
-3.3248842,0.0,4008
-2.3269134,0.0,3777
-3.7163293,0.0,692
-1.5601599,0.0,519
-5.2082305,0.0,1454
-1.7498125,0.0,4990
-0.27386272,0.0,17
-2.4507174,0.0,5812
-2.6869733,0.0,5812
0.6429477,0.0,7902
-3.9137285,0.0,7005
-1.9846104,0.0,5602
-1.5474825,0.0,6812
-2.1031241,0.0,5450
-2.2774653,0.0,12847
-1.0655854,0.0,3660
-2.529332,0.0,168
-4.1783824,0.0,6579
-1.7218874,0.0,2342
-2.3097038,0.0,9683
-1.2107778,0.0,2342
0.092564456,0.0,12979
-4.0956244,0.0,10303
-2.9662993,0.0,3445
-2.209268,0.0,8414
-0.21546686,0.0,973
-4.8000607,0.0,14291
-1.6359626,0.0,2976
-3.5484092,0.0,9926
-4.364391,0.0,3774
-4.435864,1.0,17108
-5.317899,0.0,6747
-1.5944393,0.0,2456
-4.454663,0.0,519
-0.7569779,0.0,1289
-3.9887667,0.0,2342
-0.22514114,0.0,7183
-1.2861336,0.0,11190
